special_conditions_at_site,pedestrian_movement,road_surface_conditions,light_conditions,weather_conditions,age_of_vehicle,sex_of_driver,age_of_driver,junction_location,junction_detail,junction_control,accident_severity,day_of_week
6,0.0,0.0,1.0,7,1,2.1972245773362196,2.0,3.332204510175204,2.0,6.0,2.0,3,5
8,0.0,2.0,1.0,1,1,0.6931471805599453,1.0,3.2188758248682006,1.0,3.0,2.0,3,5
14,0.0,0.0,1.0,1,1,0.6931471805599453,2.0,3.1780538303479458,8.0,6.0,4.0,3,4
25,0.0,0.0,1.0,1,1,2.1972245773362196,2.0,3.8918202981106265,8.0,3.0,4.0,3,7
26,0.0,3.0,1.0,1,1,2.0794415416798357,2.0,3.871201010907891,8.0,3.0,4.0,3,5
28,0.0,0.0,1.0,1,1,2.0794415416798357,1.0,3.7376696182833684,8.0,6.0,4.0,3,4
34,0.0,0.0,1.0,1,1,0.6931471805599453,2.0,3.4657359027997265,1.0,6.0,2.0,3,7
39,0.0,0.0,1.0,1,1,1.3862943611198906,2.0,3.5263605246161616,8.0,6.0,4.0,3,1
50,0.0,0.0,1.0,1,1,2.1972245773362196,2.0,4.189654742026425,8.0,6.0,4.0,3,6
56,0.0,0.0,1.0,1,1,2.3978952727983707,1.0,3.713572066704308,2.0,8.0,4.0,3,3
59,0.0,0.0,1.0,1,1,1.9459101490553132,1.0,3.4657359027997265,8.0,9.0,4.0,3,2
62,0.0,0.0,1.0,4,1,1.791759469228055,1.0,2.8903717578961645,8.0,7.0,4.0,3,4
64,0.0,0.0,1.0,1,1,1.9459101490553132,1.0,4.23410650459726,8.0,3.0,4.0,3,2
65,0.0,0.0,1.0,1,1,1.9459101490553132,1.0,4.23410650459726,8.0,3.0,4.0,3,2
66,0.0,0.0,1.0,1,1,1.9459101490553132,1.0,4.23410650459726,8.0,3.0,4.0,3,2
67,0.0,0.0,1.0,1,1,2.772588722239781,1.0,3.4339872044851463,8.0,8.0,4.0,3,1
69,0.0,0.0,1.0,4,1,2.1972245773362196,1.0,3.295836866004329,6.0,3.0,4.0,3,7
70,0.0,0.0,1.0,4,1,2.1972245773362196,1.0,3.295836866004329,6.0,3.0,4.0,3,7
72,0.0,0.0,1.0,1,1,0.6931471805599453,1.0,3.4657359027997265,8.0,6.0,2.0,3,7
73,0.0,0.0,1.0,1,1,0.6931471805599453,1.0,4.07753744390572,8.0,6.0,2.0,3,7
75,0.0,0.0,2.0,1,1,0.6931471805599453,2.0,3.8066624897703196,8.0,6.0,2.0,3,4
81,0.0,0.0,1.0,4,1,2.1972245773362196,1.0,3.4339872044851463,4.0,1.0,2.0,2,7
83,0.0,1.0,1.0,1,1,2.6390573296152584,2.0,3.4339872044851463,8.0,3.0,4.0,3,5
84,0.0,0.0,1.0,1,1,2.302585092994046,2.0,3.367295829986474,8.0,6.0,2.0,3,2
87,0.0,0.0,1.0,1,1,1.3862943611198906,2.0,3.9318256327243257,8.0,6.0,4.0,3,5
90,0.0,0.0,1.0,1,1,3.258096538021482,1.0,3.912023005428146,1.0,3.0,4.0,3,3
93,0.0,0.0,1.0,1,1,1.0986122886681098,1.0,3.295836866004329,8.0,3.0,4.0,3,4
97,0.0,0.0,1.0,1,1,2.70805020110221,2.0,3.4339872044851463,8.0,3.0,4.0,3,2
98,0.0,0.0,1.0,1,1,1.9459101490553132,1.0,3.871201010907891,8.0,8.0,4.0,2,5
99,0.0,0.0,1.0,1,1,3.258096538021482,2.0,4.30406509320417,8.0,8.0,4.0,2,5
115,0.0,0.0,1.0,1,1,0.6931471805599453,2.0,3.2188758248682006,8.0,6.0,4.0,3,7
116,0.0,0.0,1.0,1,1,0.6931471805599453,2.0,3.2188758248682006,8.0,6.0,4.0,3,7
120,0.0,0.0,1.0,1,1,1.791759469228055,1.0,3.4657359027997265,8.0,9.0,4.0,3,1
124,0.0,0.0,1.0,1,1,0.6931471805599453,2.0,4.31748811353631,4.0,1.0,4.0,3,5
128,0.0,0.0,1.0,1,1,2.995732273553991,2.0,4.532599493153256,6.0,3.0,4.0,3,4
135,0.0,0.0,1.0,1,1,2.833213344056216,1.0,4.060443010546419,1.0,5.0,4.0,3,6
136,0.0,0.0,1.0,1,1,0.6931471805599453,1.0,3.6375861597263857,1.0,5.0,4.0,3,6
137,0.0,0.0,1.0,1,1,1.3862943611198906,1.0,4.23410650459726,1.0,5.0,4.0,3,6
140,0.0,0.0,1.0,1,1,1.0986122886681098,2.0,3.4965075614664802,2.0,9.0,4.0,3,4
