accident_severity,special_conditions_at_site,pedestrian_movement,road_surface_conditions,light_conditions,weather_conditions,age_of_vehicle,sex_of_driver,age_of_driver,junction_location,junction_detail,junction_control,did_police_officer_attend_scene_of_accident,day_of_week
225133,1,0.0,0.0,1.0,4,1,1.0986122886681098,2.0,4.31748811353631,7.0,5.0,4.0,1.0,1
147081,1,0.0,0.0,1.0,4,1,2.70805020110221,1.0,3.044522437723423,8.0,3.0,4.0,1.0,5
202920,1,0.0,0.0,1.0,1,1,1.3862943611198906,2.0,3.58351893845611,8.0,3.0,2.0,1.0,2
202919,1,0.0,0.0,1.0,1,1,1.3862943611198906,2.0,3.58351893845611,8.0,3.0,2.0,1.0,2
202918,1,0.0,0.0,1.0,1,1,2.5649493574615367,2.0,4.02535169073515,8.0,3.0,2.0,1.0,2
176094,1,0.0,0.0,1.0,1,1,2.302585092994046,1.0,3.784189633918261,8.0,9.0,4.0,1.0,4
118698,1,0.0,0.0,2.0,4,2,2.6390573296152584,1.0,3.7612001156935624,2.0,3.0,4.0,1.0,2
118693,1,0.0,0.0,1.0,1,1,1.6094379124341003,1.0,2.9444389791664403,1.0,3.0,4.0,1.0,7
164481,1,0.0,0.0,1.0,1,1,2.302585092994046,1.0,3.58351893845611,8.0,3.0,4.0,1.0,4
86525,1,0.0,0.0,1.0,1,1,1.6094379124341003,1.0,4.143134726391533,3.0,1.0,4.0,1.0,2
68930,1,0.0,3.0,2.0,4,2,2.3978952727983707,1.0,3.1354942159291497,8.0,3.0,4.0,1.0,1
107777,1,0.0,0.0,2.0,4,7,2.0794415416798357,1.0,3.091042453358316,4.0,1.0,4.0,1.0,1
103637,1,0.0,0.0,1.0,6,1,1.6094379124341003,1.0,3.367295829986474,2.0,8.0,4.0,1.0,5
251424,1,0.0,0.0,1.0,1,1,1.0986122886681098,1.0,3.044522437723423,2.0,3.0,4.0,1.0,7
213949,1,0.0,0.0,1.0,1,1,2.4849066497880004,2.0,4.406719247264253,4.0,1.0,4.0,1.0,3
213948,1,0.0,0.0,1.0,1,1,2.4849066497880004,2.0,4.406719247264253,4.0,1.0,4.0,1.0,3
213947,1,0.0,1.0,1.0,1,1,2.4849066497880004,2.0,4.406719247264253,4.0,1.0,4.0,1.0,3
255956,1,0.0,0.0,1.0,4,1,2.6390573296152584,1.0,3.258096538021482,2.0,6.0,2.0,1.0,1
255957,1,0.0,0.0,1.0,4,1,2.6390573296152584,1.0,3.258096538021482,2.0,6.0,2.0,1.0,1
255958,1,0.0,3.0,1.0,4,1,2.6390573296152584,1.0,3.258096538021482,2.0,6.0,2.0,1.0,1
255959,1,0.0,3.0,1.0,4,1,2.6390573296152584,1.0,3.258096538021482,2.0,6.0,2.0,1.0,1
149803,1,0.0,0.0,1.0,1,1,1.3862943611198906,1.0,3.784189633918261,8.0,5.0,4.0,1.0,3
149804,1,0.0,0.0,1.0,1,1,2.5649493574615367,1.0,3.8501476017100584,8.0,5.0,4.0,1.0,3
176093,1,0.0,0.0,1.0,1,1,2.1972245773362196,1.0,3.1780538303479458,8.0,9.0,4.0,1.0,4
143730,1,0.0,0.0,1.0,1,1,3.044522437723423,1.0,3.6888794541139363,2.0,3.0,4.0,1.0,2
101014,1,0.0,3.0,1.0,1,1,2.3978952727983707,1.0,4.04305126783455,2.0,3.0,4.0,1.0,6
184525,1,0.0,0.0,1.0,1,1,2.4849066497880004,1.0,4.127134385045092,1.0,3.0,4.0,1.0,4
103638,1,0.0,0.0,1.0,6,1,2.302585092994046,2.0,4.07753744390572,1.0,8.0,4.0,1.0,5
221614,1,0.0,0.0,1.0,6,1,0.6931471805599453,1.0,4.382026634673881,2.0,3.0,4.0,1.0,5
143446,1,0.0,0.0,1.0,1,1,2.70805020110221,1.0,3.2188758248682006,8.0,6.0,4.0,1.0,2
74693,1,0.0,0.0,1.0,1,1,2.5649493574615367,1.0,4.499809670330265,6.0,3.0,3.0,1.0,4
74692,1,0.0,0.0,1.0,1,1,2.5649493574615367,1.0,4.499809670330265,6.0,3.0,3.0,1.0,4
107579,1,0.0,1.0,2.0,4,2,2.302585092994046,1.0,3.091042453358316,2.0,3.0,4.0,1.0,7
74655,1,0.0,1.0,1.0,1,1,2.0794415416798357,1.0,3.7376696182833684,8.0,3.0,4.0,1.0,2
276657,1,0.0,0.0,2.0,1,1,2.5649493574615367,1.0,2.8903717578961645,1.0,9.0,4.0,1.0,5
115134,1,0.0,3.0,2.0,4,2,2.6390573296152584,1.0,3.8501476017100584,2.0,9.0,4.0,1.0,2
228161,1,0.0,0.0,1.0,4,1,2.6390573296152584,1.0,3.044522437723423,8.0,3.0,4.0,1.0,1
228162,1,0.0,0.0,1.0,4,1,2.6390573296152584,1.0,3.044522437723423,8.0,3.0,4.0,1.0,1
59542,1,0.0,0.0,1.0,1,1,1.3862943611198906,2.0,3.784189633918261,1.0,3.0,4.0,1.0,4
59541,1,0.0,0.0,1.0,1,1,2.8903717578961645,1.0,3.5553480614894135,1.0,3.0,4.0,1.0,4
154145,1,0.0,5.0,2.0,1,1,3.044522437723423,2.0,4.04305126783455,2.0,3.0,4.0,2.0,5
228171,1,5.0,0.0,1.0,1,1,2.833213344056216,1.0,3.1354942159291497,8.0,3.0,4.0,1.0,1
154176,1,0.0,0.0,1.0,4,1,2.302585092994046,1.0,4.060443010546419,2.0,3.0,4.0,1.0,7
154175,1,0.0,0.0,1.0,4,1,2.302585092994046,1.0,4.060443010546419,2.0,3.0,4.0,1.0,7
234666,1,0.0,0.0,2.0,1,1,0.6931471805599453,1.0,4.219507705176107,1.0,3.0,4.0,1.0,7
234667,1,0.0,1.0,2.0,1,1,0.6931471805599453,1.0,4.219507705176107,1.0,3.0,4.0,1.0,7
154174,1,0.0,0.0,1.0,4,1,2.833213344056216,1.0,3.091042453358316,1.0,3.0,4.0,1.0,7
154173,1,0.0,0.0,1.0,4,1,2.833213344056216,1.0,3.091042453358316,1.0,3.0,4.0,1.0,7
154172,1,0.0,0.0,1.0,4,1,2.833213344056216,1.0,3.091042453358316,1.0,3.0,4.0,1.0,7
154171,1,0.0,0.0,1.0,4,1,2.833213344056216,1.0,3.091042453358316,1.0,3.0,4.0,1.0,7
103640,1,0.0,0.0,1.0,6,1,2.302585092994046,2.0,4.07753744390572,1.0,8.0,4.0,1.0,5
105330,1,0.0,0.0,1.0,1,1,2.70805020110221,1.0,3.912023005428146,1.0,9.0,4.0,1.0,6
103639,1,0.0,0.0,1.0,6,1,2.302585092994046,2.0,4.07753744390572,1.0,8.0,4.0,1.0,5
228172,1,5.0,0.0,1.0,1,1,2.833213344056216,1.0,3.1354942159291497,8.0,3.0,4.0,1.0,1
143445,1,0.0,0.0,1.0,1,1,2.70805020110221,1.0,3.2188758248682006,8.0,6.0,4.0,1.0,2
101015,1,0.0,3.0,1.0,1,1,2.3978952727983707,1.0,4.04305126783455,2.0,3.0,4.0,1.0,6
173733,1,0.0,1.0,1.0,1,1,2.3978952727983707,1.0,3.332204510175204,2.0,3.0,4.0,1.0,1
150269,1,0.0,1.0,1.0,1,1,2.0794415416798357,1.0,4.204692619390966,1.0,3.0,2.0,1.0,4
277308,1,0.0,0.0,2.0,1,1,2.3978952727983707,1.0,3.367295829986474,1.0,5.0,4.0,1.0,4
281753,1,0.0,0.0,1.0,1,1,3.044522437723423,1.0,3.5553480614894135,2.0,9.0,4.0,1.0,4
277332,1,0.0,2.0,1.0,1,1,1.3862943611198906,1.0,4.174387269895637,1.0,3.0,4.0,1.0,6
277336,1,0.0,0.0,1.0,1,4,2.302585092994046,1.0,3.912023005428146,8.0,3.0,4.0,2.0,1
63976,1,0.0,0.0,1.0,1,1,2.3978952727983707,1.0,4.060443010546419,3.0,1.0,4.0,1.0,3
131997,1,0.0,0.0,2.0,1,1,2.70805020110221,1.0,3.4657359027997265,8.0,3.0,4.0,1.0,4
131996,1,0.0,0.0,2.0,1,1,2.3978952727983707,1.0,4.543294782270004,6.0,3.0,4.0,1.0,4
86225,1,0.0,0.0,1.0,1,1,2.3978952727983707,2.0,3.4339872044851463,8.0,3.0,4.0,1.0,1
86224,1,0.0,0.0,1.0,1,1,2.3978952727983707,2.0,3.4339872044851463,8.0,3.0,4.0,1.0,1
178599,1,0.0,0.0,1.0,1,1,0.6931471805599453,2.0,3.828641396489095,6.0,8.0,4.0,1.0,1
108170,1,0.0,0.0,1.0,1,1,1.3862943611198906,1.0,3.8066624897703196,8.0,8.0,4.0,1.0,6
